               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,             0.03228,            0.028622,           0.0092281,             0.79177,             0.78264,              0.8324,             0.58563,            0.029069,            0.017403,           0.0051791,             0.00703,             0.00703,             0.00703
                  92,            0.032117,            0.028818,           0.0093063,             0.79464,             0.78253,             0.83244,             0.58595,            0.029068,            0.017399,           0.0051727,            0.006997,            0.006997,            0.006997
                  93,             0.03201,            0.028254,           0.0094707,             0.79491,             0.78235,             0.83304,             0.58634,             0.02907,            0.017397,           0.0051623,            0.006964,            0.006964,            0.006964
                  94,            0.032234,            0.028571,           0.0093583,             0.79505,              0.7833,             0.83339,              0.5866,            0.029069,            0.017391,             0.00516,            0.006931,            0.006931,            0.006931
                  95,            0.032228,            0.028864,           0.0096651,             0.79465,             0.78428,             0.83356,             0.58626,            0.029064,             0.01739,           0.0051627,            0.006898,            0.006898,            0.006898
                  96,            0.031934,             0.02818,           0.0092714,             0.79454,             0.78302,             0.83366,             0.58673,             0.02906,            0.017387,           0.0051612,            0.006865,            0.006865,            0.006865
                  97,            0.032112,             0.02829,           0.0093866,              0.7966,             0.78161,             0.83389,             0.58692,            0.029057,            0.017382,           0.0051676,            0.006832,            0.006832,            0.006832
                  98,            0.031986,            0.028731,           0.0092142,              0.7967,             0.78216,             0.83395,             0.58714,            0.029058,            0.017377,           0.0051692,            0.006799,            0.006799,            0.006799
                  99,            0.031971,            0.028562,           0.0092361,             0.79788,             0.77944,             0.83371,              0.5874,            0.029063,            0.017375,           0.0051753,            0.006766,            0.006766,            0.006766
                 100,            0.031955,             0.02838,           0.0092613,             0.79706,             0.78026,             0.83397,             0.58755,            0.029066,            0.017372,            0.005181,            0.006733,            0.006733,            0.006733
                 101,            0.031836,            0.028538,           0.0093026,             0.79819,              0.7795,             0.83401,             0.58769,            0.029069,            0.017372,           0.0051877,              0.0067,              0.0067,              0.0067
                 102,            0.031751,            0.028365,            0.009184,             0.79949,              0.7782,             0.83398,             0.58744,             0.02907,            0.017371,           0.0051988,            0.006667,            0.006667,            0.006667
                 103,            0.031968,            0.028211,            0.009263,             0.80144,             0.77793,             0.83399,             0.58765,            0.029073,             0.01737,           0.0052023,            0.006634,            0.006634,            0.006634
                 104,            0.031942,            0.028464,           0.0093146,             0.80127,             0.77741,             0.83417,             0.58783,            0.029076,            0.017367,           0.0052038,            0.006601,            0.006601,            0.006601
                 105,            0.031698,            0.028463,           0.0090509,             0.80122,             0.77832,              0.8342,             0.58792,            0.029079,            0.017368,           0.0052077,            0.006568,            0.006568,            0.006568
                 106,            0.031507,            0.028307,           0.0091861,             0.80134,             0.77957,             0.83442,              0.5881,            0.029076,            0.017366,           0.0052063,            0.006535,            0.006535,            0.006535
                 107,            0.031655,            0.028008,           0.0091419,               0.798,             0.78211,             0.83455,              0.5879,            0.029076,            0.017365,           0.0052086,            0.006502,            0.006502,            0.006502
                 108,            0.031722,            0.028367,           0.0090106,             0.80217,             0.77844,             0.83462,             0.58784,            0.029079,            0.017365,           0.0052079,            0.006469,            0.006469,            0.006469
                 109,            0.031333,             0.02801,           0.0089598,             0.80319,              0.7779,             0.83477,              0.5879,            0.029084,            0.017365,           0.0052137,            0.006436,            0.006436,            0.006436
                 110,            0.031667,            0.027943,           0.0090554,              0.8022,             0.77866,             0.83494,             0.58806,            0.029089,            0.017363,           0.0052217,            0.006403,            0.006403,            0.006403
                 111,            0.031562,            0.028272,           0.0091376,             0.80037,             0.77949,             0.83499,             0.58873,             0.02909,            0.017358,           0.0052276,             0.00637,             0.00637,             0.00637
                 112,            0.031418,            0.027914,           0.0090916,             0.79833,             0.78204,             0.83494,             0.58893,            0.029091,            0.017354,           0.0052314,            0.006337,            0.006337,            0.006337
                 113,             0.03144,            0.027812,           0.0087049,              0.8011,             0.78178,              0.8354,             0.58938,            0.029089,            0.017351,           0.0052372,            0.006304,            0.006304,            0.006304
                 114,            0.031341,             0.02793,           0.0086468,             0.80069,             0.78455,             0.83557,              0.5894,             0.02909,            0.017349,           0.0052462,            0.006271,            0.006271,            0.006271
                 115,            0.031506,            0.027942,           0.0089102,             0.80341,             0.78191,             0.83555,              0.5891,            0.029091,            0.017346,           0.0052525,            0.006238,            0.006238,            0.006238
                 116,              0.0315,            0.028058,            0.008931,             0.80344,             0.78097,             0.83517,             0.58915,            0.029096,            0.017346,           0.0052526,            0.006205,            0.006205,            0.006205
                 117,            0.031317,            0.027941,           0.0088431,             0.80333,             0.78105,             0.83498,             0.58923,            0.029098,            0.017345,           0.0052587,            0.006172,            0.006172,            0.006172
                 118,            0.031416,            0.027923,           0.0088312,             0.80292,             0.78015,             0.83495,              0.5893,            0.029099,            0.017342,           0.0052627,            0.006139,            0.006139,            0.006139
                 119,            0.031226,            0.027734,           0.0088599,             0.80095,               0.781,             0.83495,              0.5894,            0.029101,             0.01734,           0.0052646,            0.006106,            0.006106,            0.006106
                 120,            0.031281,            0.027889,           0.0087419,             0.79944,             0.78228,             0.83492,             0.58949,            0.029102,            0.017337,            0.005269,            0.006073,            0.006073,            0.006073
                 121,            0.031284,            0.028058,           0.0086542,             0.79614,             0.78527,             0.83507,             0.58929,              0.0291,            0.017332,           0.0052649,             0.00604,             0.00604,             0.00604
                 122,            0.031026,            0.027527,           0.0087044,             0.79782,             0.78408,             0.83479,              0.5897,            0.029098,            0.017331,           0.0052576,            0.006007,            0.006007,            0.006007
                 123,             0.03116,            0.027805,           0.0086248,             0.79918,             0.78338,             0.83523,             0.58964,            0.029099,            0.017329,           0.0052547,            0.005974,            0.005974,            0.005974
                 124,            0.031037,            0.027599,           0.0087168,              0.8005,             0.78289,             0.83526,             0.58992,            0.029105,            0.017324,           0.0052586,            0.005941,            0.005941,            0.005941
                 125,            0.031053,            0.027882,           0.0086489,             0.80068,             0.78222,              0.8353,             0.59002,            0.029109,            0.017323,            0.005256,            0.005908,            0.005908,            0.005908
                 126,            0.031018,            0.027814,           0.0085676,             0.80008,              0.7829,             0.83512,             0.59006,            0.029114,             0.01732,           0.0052551,            0.005875,            0.005875,            0.005875
                 127,            0.031109,            0.027646,           0.0083714,             0.79965,              0.7833,             0.83529,             0.59033,            0.029115,            0.017316,           0.0052427,            0.005842,            0.005842,            0.005842
                 128,             0.03082,            0.027488,           0.0085801,             0.80111,             0.78331,              0.8355,             0.59068,            0.029114,            0.017315,           0.0052315,            0.005809,            0.005809,            0.005809
                 129,            0.031011,             0.02766,           0.0087004,              0.8048,             0.77894,             0.83534,             0.59113,            0.029115,            0.017315,           0.0052236,            0.005776,            0.005776,            0.005776
                 130,            0.030895,            0.027514,           0.0085364,             0.80916,              0.7748,             0.83566,             0.59135,             0.02912,             0.01731,           0.0052172,            0.005743,            0.005743,            0.005743
                 131,            0.030548,            0.027254,           0.0083677,             0.80788,             0.77595,             0.83526,             0.59146,            0.029125,            0.017309,           0.0052171,             0.00571,             0.00571,             0.00571
                 132,            0.030828,            0.027637,           0.0085422,              0.8036,             0.77844,             0.83529,             0.59139,            0.029127,             0.01731,           0.0052161,            0.005677,            0.005677,            0.005677
                 133,            0.030779,            0.027606,           0.0086313,             0.80466,             0.77845,             0.83524,             0.59141,            0.029128,             0.01731,            0.005214,            0.005644,            0.005644,            0.005644
                 134,            0.030563,            0.027475,            0.008384,             0.80297,              0.7795,             0.83519,             0.59153,            0.029129,             0.01731,           0.0052105,            0.005611,            0.005611,            0.005611
                 135,            0.030711,             0.02736,           0.0082019,               0.804,             0.77832,             0.83504,             0.59217,            0.029128,            0.017309,           0.0052043,            0.005578,            0.005578,            0.005578
                 136,            0.030656,            0.027488,           0.0082537,             0.80355,             0.77984,             0.83587,             0.59254,             0.02913,            0.017307,           0.0052038,            0.005545,            0.005545,            0.005545
                 137,            0.030271,            0.027154,           0.0081652,             0.80217,             0.78092,             0.83578,              0.5926,            0.029134,            0.017306,           0.0052078,            0.005512,            0.005512,            0.005512
                 138,            0.030429,            0.027271,            0.008194,             0.80162,              0.7798,             0.83578,             0.59268,            0.029136,            0.017305,           0.0052114,            0.005479,            0.005479,            0.005479
                 139,            0.030332,            0.027507,           0.0081485,             0.80185,             0.77982,             0.83615,             0.59245,            0.029141,            0.017306,           0.0052078,            0.005446,            0.005446,            0.005446
                 140,            0.030408,            0.027154,           0.0080806,             0.80076,             0.77975,             0.83597,             0.59297,            0.029146,            0.017306,           0.0052099,            0.005413,            0.005413,            0.005413
                 141,            0.030445,            0.027236,           0.0082673,             0.79987,             0.78178,               0.836,             0.59282,            0.029149,            0.017308,           0.0052099,             0.00538,             0.00538,             0.00538
                 142,              0.0304,            0.027072,           0.0080475,             0.79776,             0.78391,             0.83592,             0.59289,            0.029151,            0.017311,           0.0052082,            0.005347,            0.005347,            0.005347
                 143,            0.030147,              0.0268,           0.0082772,              0.8006,             0.78258,             0.83597,               0.593,            0.029155,            0.017311,           0.0052087,            0.005314,            0.005314,            0.005314
                 144,            0.030253,            0.027099,           0.0080395,             0.79979,             0.78405,             0.83604,             0.59276,            0.029154,            0.017315,           0.0052144,            0.005281,            0.005281,            0.005281
                 145,            0.030361,            0.027061,           0.0080219,             0.79948,             0.78314,             0.83559,             0.59261,            0.029156,             0.01732,           0.0052132,            0.005248,            0.005248,            0.005248
                 146,            0.030306,             0.02738,           0.0080759,             0.79902,               0.784,              0.8358,             0.59263,            0.029159,            0.017324,           0.0052129,            0.005215,            0.005215,            0.005215
                 147,            0.030206,            0.027061,           0.0081706,             0.79903,             0.78506,             0.83579,             0.59224,            0.029162,            0.017325,           0.0052101,            0.005182,            0.005182,            0.005182
                 148,            0.030174,            0.027084,           0.0080254,             0.79828,             0.78521,             0.83552,             0.59247,            0.029167,            0.017328,           0.0052161,            0.005149,            0.005149,            0.005149
                 149,            0.030157,            0.026877,           0.0080698,             0.79831,             0.78626,             0.83559,             0.59222,            0.029172,             0.01733,           0.0052271,            0.005116,            0.005116,            0.005116
                 150,            0.030262,            0.027095,           0.0078714,             0.79672,             0.78811,             0.83527,             0.59237,            0.029173,            0.017333,           0.0052308,            0.005083,            0.005083,            0.005083
                 151,            0.029882,            0.026896,           0.0079084,             0.79833,             0.78698,             0.83506,             0.59255,            0.029175,            0.017336,           0.0052236,             0.00505,             0.00505,             0.00505
                 152,            0.029982,            0.026638,           0.0080952,             0.80006,             0.78569,             0.83494,             0.59272,            0.029174,            0.017338,           0.0052163,            0.005017,            0.005017,            0.005017
                 153,            0.029917,            0.026867,           0.0079364,             0.79866,             0.78609,              0.8351,             0.59284,            0.029174,            0.017339,           0.0052114,            0.004984,            0.004984,            0.004984
                 154,            0.030181,            0.026798,           0.0078472,             0.79874,             0.78655,              0.8351,             0.59303,            0.029177,            0.017339,             0.00521,            0.004951,            0.004951,            0.004951
                 155,             0.02989,            0.026939,           0.0077727,             0.79967,             0.78691,             0.83493,              0.5932,            0.029176,            0.017342,           0.0052084,            0.004918,            0.004918,            0.004918
                 156,            0.029934,            0.026666,           0.0077648,             0.80095,             0.78633,             0.83512,             0.59304,            0.029182,            0.017341,           0.0052083,            0.004885,            0.004885,            0.004885
                 157,            0.029779,            0.026797,           0.0077982,             0.80245,             0.78469,             0.83491,             0.59291,            0.029183,            0.017342,           0.0052077,            0.004852,            0.004852,            0.004852
                 158,            0.029923,            0.026542,           0.0076784,             0.79984,             0.78608,             0.83473,             0.59341,            0.029183,            0.017343,           0.0052069,            0.004819,            0.004819,            0.004819
                 159,            0.029747,            0.026709,           0.0077221,             0.79909,             0.78745,             0.83464,             0.59326,            0.029187,            0.017347,            0.005209,            0.004786,            0.004786,            0.004786
                 160,            0.029679,            0.026827,           0.0077254,             0.79766,             0.78873,             0.83439,             0.59331,            0.029189,            0.017348,           0.0052118,            0.004753,            0.004753,            0.004753
                 161,            0.029578,            0.026424,           0.0076779,             0.80001,             0.78646,             0.83439,             0.59348,            0.029191,             0.01735,           0.0052142,             0.00472,             0.00472,             0.00472
